Identifiant PRM;Type de donnees;Date de debut;Date de fin;Grandeur physique;Grandeur metier;Etape metier;Unite;Pas en minutes
1111111111111;Courbe de charge;29/06/2022;29/07/2023;Energie active;Consommation;Comptage Brut;W;
Horodate;Valeur
2022-07-29T00:30:00+02:00;330
2022-07-29T01:00:00+02:00;364
2022-07-29T01:30:00+02:00;300
2022-07-29T02:00:00+02:00;380
2022-07-29T02:30:00+02:00;364
2022-07-29T03:00:00+02:00;404
2022-07-29T03:30:00+02:00;334
2022-07-29T04:00:00+02:00;324
2022-07-29T04:30:00+02:00;322
2022-07-29T05:00:00+02:00;260
2022-07-29T05:30:00+02:00;310
2022-07-29T06:00:00+02:00;248
2022-07-29T06:30:00+02:00;314
2022-07-29T07:00:00+02:00;252
2022-07-29T07:30:00+02:00;444
2022-07-29T08:00:00+02:00;2678
2022-07-29T08:30:00+02:00;1258
2022-07-29T09:00:00+02:00;1926
2022-07-29T09:30:00+02:00;1240
2022-07-29T10:00:00+02:00;852
2022-07-29T10:30:00+02:00;346
2022-07-29T11:00:00+02:00;436
2022-07-29T11:30:00+02:00;380
2022-07-29T12:00:00+02:00;392
2022-07-29T12:30:00+02:00;374
2022-07-29T13:00:00+02:00;556
2022-07-29T13:30:00+02:00;366
2022-07-29T14:00:00+02:00;1580
2022-07-29T14:30:00+02:00;796
2022-07-29T15:00:00+02:00;1262
2022-07-29T15:30:00+02:00;378
2022-07-29T16:00:00+02:00;316
2022-07-29T16:30:00+02:00;420
2022-07-29T17:00:00+02:00;314
2022-07-29T17:30:00+02:00;546
2022-07-29T18:00:00+02:00;450
2022-07-29T18:30:00+02:00;490
2022-07-29T19:00:00+02:00;348
2022-07-29T19:30:00+02:00;732
2022-07-29T20:00:00+02:00;1266
2022-07-29T20:30:00+02:00;344
2022-07-29T21:00:00+02:00;388
2022-07-29T21:30:00+02:00;528
2022-07-29T22:00:00+02:00;452
2022-07-29T22:30:00+02:00;442
2022-07-29T23:00:00+02:00;1518
2022-07-29T23:30:00+02:00;764
2022-07-30T00:00:00+02:00;414
2022-07-30T00:30:00+02:00;450
2022-07-30T01:00:00+02:00;256
2022-07-30T01:30:00+02:00;278
2022-07-30T02:00:00+02:00;342
2022-07-30T02:30:00+02:00;228
2022-07-30T03:00:00+02:00;338
2022-07-30T03:30:00+02:00;234
2022-07-30T04:00:00+02:00;288
2022-07-30T04:30:00+02:00;248
2022-07-30T05:00:00+02:00;274
2022-07-30T05:30:00+02:00;232
2022-07-30T06:00:00+02:00;282
2022-07-30T06:30:00+02:00;242
2022-07-30T07:00:00+02:00;212
2022-07-30T07:30:00+02:00;536
2022-07-30T08:00:00+02:00;1112
2022-07-30T08:30:00+02:00;1872
2022-07-30T09:00:00+02:00;1276
2022-07-30T09:30:00+02:00;872
2022-07-30T10:00:00+02:00;982
2022-07-30T10:30:00+02:00;366
2022-07-30T11:00:00+02:00;232
2022-07-30T11:30:00+02:00;314
2022-07-30T12:00:00+02:00;260
2022-07-30T12:30:00+02:00;230
2022-07-30T13:00:00+02:00;270
2022-07-30T13:30:00+02:00;230
2022-07-30T14:00:00+02:00;288
2022-07-30T14:30:00+02:00;218
2022-07-30T15:00:00+02:00;290
2022-07-30T15:30:00+02:00;214
2022-07-30T16:00:00+02:00;290
2022-07-30T16:30:00+02:00;246
2022-07-30T17:00:00+02:00;276
2022-07-30T17:30:00+02:00;274
2022-07-30T18:00:00+02:00;322
2022-07-30T18:30:00+02:00;374
2022-07-30T19:00:00+02:00;340
2022-07-30T19:30:00+02:00;400
2022-07-30T20:00:00+02:00;328
2022-07-30T20:30:00+02:00;390
2022-07-30T21:00:00+02:00;292
2022-07-30T21:30:00+02:00;348
2022-07-30T22:00:00+02:00;300
2022-07-30T22:30:00+02:00;276
2022-07-30T23:00:00+02:00;338
2022-07-30T23:30:00+02:00;212
2022-07-31T00:00:00+02:00;302
2022-07-31T00:30:00+02:00;232
2022-07-31T01:00:00+02:00;268
2022-07-31T01:30:00+02:00;252
2022-07-31T02:00:00+02:00;250
2022-07-31T02:30:00+02:00;276
2022-07-31T03:00:00+02:00;226
2022-07-31T03:30:00+02:00;268
2022-07-31T04:00:00+02:00;206
2022-07-31T04:30:00+02:00;258
2022-07-31T05:00:00+02:00;226
2022-07-31T05:30:00+02:00;228
2022-07-31T06:00:00+02:00;280
2022-07-31T06:30:00+02:00;320
2022-07-31T07:00:00+02:00;298
2022-07-31T07:30:00+02:00;266
2022-07-31T08:00:00+02:00;264
2022-07-31T08:30:00+02:00;222
2022-07-31T09:00:00+02:00;282
2022-07-31T09:30:00+02:00;220
2022-07-31T10:00:00+02:00;212
2022-07-31T10:30:00+02:00;242
2022-07-31T11:00:00+02:00;200
2022-07-31T11:30:00+02:00;268
2022-07-31T12:00:00+02:00;220
2022-07-31T12:30:00+02:00;250
2022-07-31T13:00:00+02:00;204
2022-07-31T13:30:00+02:00;236
2022-07-31T14:00:00+02:00;230
2022-07-31T14:30:00+02:00;216
2022-07-31T15:00:00+02:00;280
2022-07-31T15:30:00+02:00;292
2022-07-31T16:00:00+02:00;2802
2022-07-31T16:30:00+02:00;272
2022-07-31T17:00:00+02:00;210
2022-07-31T17:30:00+02:00;304
2022-07-31T18:00:00+02:00;300
2022-07-31T18:30:00+02:00;310
2022-07-31T19:00:00+02:00;298
2022-07-31T19:30:00+02:00;258
2022-07-31T20:00:00+02:00;422
2022-07-31T20:30:00+02:00;312
2022-07-31T21:00:00+02:00;1250
2022-07-31T21:30:00+02:00;1484
2022-07-31T22:00:00+02:00;800
2022-07-31T22:30:00+02:00;744
2022-07-31T23:00:00+02:00;686
2022-07-31T23:30:00+02:00;714
2022-08-01T00:00:00+02:00;606
2022-08-01T00:30:00+02:00;514
2022-08-01T01:00:00+02:00;442
2022-08-01T01:30:00+02:00;478
2022-08-01T02:00:00+02:00;430
2022-08-01T02:30:00+02:00;424
2022-08-01T03:00:00+02:00;1140
2022-08-01T03:30:00+02:00;770
2022-08-01T04:00:00+02:00;590
2022-08-01T04:30:00+02:00;572
2022-08-01T05:00:00+02:00;570
2022-08-01T05:30:00+02:00;554
2022-08-01T06:00:00+02:00;490
2022-08-01T06:30:00+02:00;582
2022-08-01T07:00:00+02:00;462
2022-08-01T07:30:00+02:00;426
2022-08-01T08:00:00+02:00;1004
2022-08-01T08:30:00+02:00;1012
2022-08-01T09:00:00+02:00;3976
2022-08-01T09:30:00+02:00;922
2022-08-01T10:00:00+02:00;854
2022-08-01T10:30:00+02:00;1420
2022-08-01T11:00:00+02:00;424
2022-08-01T11:30:00+02:00;518
2022-08-01T12:00:00+02:00;430
2022-08-01T12:30:00+02:00;504
2022-08-01T13:00:00+02:00;1812
2022-08-01T13:30:00+02:00;1706
2022-08-01T14:00:00+02:00;778
2022-08-01T14:30:00+02:00;1170
2022-08-01T15:00:00+02:00;1114
2022-08-01T15:30:00+02:00;1158
2022-08-01T16:00:00+02:00;538
2022-08-01T16:30:00+02:00;578
2022-08-01T17:00:00+02:00;466
2022-08-01T17:30:00+02:00;498
2022-08-01T18:00:00+02:00;490
2022-08-01T18:30:00+02:00;474
2022-08-01T19:00:00+02:00;584
2022-08-01T19:30:00+02:00;512
2022-08-01T20:00:00+02:00;630
2022-08-01T20:30:00+02:00;678
2022-08-01T21:00:00+02:00;1914
2022-08-01T21:30:00+02:00;746
2022-08-01T22:00:00+02:00;572
2022-08-01T22:30:00+02:00;568
2022-08-01T23:00:00+02:00;532
2022-08-01T23:30:00+02:00;532
2022-08-02T00:00:00+02:00;492
2022-08-02T00:30:00+02:00;530
2022-08-02T01:00:00+02:00;458
2022-08-02T01:30:00+02:00;470
2022-08-02T02:00:00+02:00;398
2022-08-02T02:30:00+02:00;426
2022-08-02T03:00:00+02:00;426
2022-08-02T03:30:00+02:00;364
2022-08-02T04:00:00+02:00;422
2022-08-02T04:30:00+02:00;380
2022-08-02T05:00:00+02:00;410
2022-08-02T05:30:00+02:00;396
2022-08-02T06:00:00+02:00;514
2022-08-02T06:30:00+02:00;438
2022-08-02T07:00:00+02:00;442
2022-08-02T07:30:00+02:00;456
2022-08-02T08:00:00+02:00;1152
2022-08-02T08:30:00+02:00;1986
2022-08-02T09:00:00+02:00;634
2022-08-02T09:30:00+02:00;682
2022-08-02T10:00:00+02:00;882
2022-08-02T10:30:00+02:00;2194
2022-08-02T11:00:00+02:00;668
2022-08-02T11:30:00+02:00;1930
2022-08-02T12:00:00+02:00;1888
2022-08-02T12:30:00+02:00;892
2022-08-02T13:00:00+02:00;510
2022-08-02T13:30:00+02:00;556
2022-08-02T14:00:00+02:00;1112
2022-08-02T14:30:00+02:00;1070
2022-08-02T15:00:00+02:00;792
2022-08-02T15:30:00+02:00;496
2022-08-02T16:00:00+02:00;574
2022-08-02T16:30:00+02:00;656
2022-08-02T17:00:00+02:00;586
2022-08-02T17:30:00+02:00;650
2022-08-02T18:00:00+02:00;590
2022-08-02T18:30:00+02:00;674
2022-08-02T19:00:00+02:00;576
2022-08-02T19:30:00+02:00;506
2022-08-02T20:00:00+02:00;492
2022-08-02T20:30:00+02:00;1020
2022-08-02T21:00:00+02:00;696
2022-08-02T21:30:00+02:00;964
2022-08-02T22:00:00+02:00;1056
2022-08-02T22:30:00+02:00;1076
2022-08-02T23:00:00+02:00;964
2022-08-02T23:30:00+02:00;1018
2022-08-03T00:00:00+02:00;1398
2022-08-03T00:30:00+02:00;1502
2022-08-03T01:00:00+02:00;702
2022-08-03T01:30:00+02:00;458
2022-08-03T02:00:00+02:00;428
2022-08-03T02:30:00+02:00;604
2022-08-03T03:00:00+02:00;756
2022-08-03T03:30:00+02:00;818
2022-08-03T04:00:00+02:00;492
2022-08-03T04:30:00+02:00;418
2022-08-03T05:00:00+02:00;374
2022-08-03T05:30:00+02:00;438
2022-08-03T06:00:00+02:00;470
2022-08-03T06:30:00+02:00;2002
2022-08-03T07:00:00+02:00;474
2022-08-03T07:30:00+02:00;592
2022-08-03T08:00:00+02:00;734
2022-08-03T08:30:00+02:00;566
2022-08-03T09:00:00+02:00;1638
2022-08-03T09:30:00+02:00;1136
2022-08-03T10:00:00+02:00;400
2022-08-03T10:30:00+02:00;358
2022-08-03T11:00:00+02:00;460
2022-08-03T11:30:00+02:00;1646
2022-08-03T12:00:00+02:00;652
2022-08-03T12:30:00+02:00;990
2022-08-03T13:00:00+02:00;382
2022-08-03T13:30:00+02:00;460
2022-08-03T14:00:00+02:00;2092
2022-08-03T14:30:00+02:00;1032
2022-08-03T15:00:00+02:00;1006
2022-08-03T15:30:00+02:00;1050
2022-08-03T16:00:00+02:00;1082
2022-08-03T16:30:00+02:00;884
2022-08-03T17:00:00+02:00;864
2022-08-03T17:30:00+02:00;802
2022-08-03T18:00:00+02:00;1012
2022-08-03T18:30:00+02:00;2396
2022-08-03T19:00:00+02:00;888
2022-08-03T19:30:00+02:00;1116
2022-08-03T20:00:00+02:00;2548
2022-08-03T20:30:00+02:00;1556
2022-08-03T21:00:00+02:00;886
2022-08-03T21:30:00+02:00;946
2022-08-03T22:00:00+02:00;1012
2022-08-03T22:30:00+02:00;1074
2022-08-03T23:00:00+02:00;1804
2022-08-03T23:30:00+02:00;2124
2022-08-04T00:00:00+02:00;1276
2022-08-04T00:30:00+02:00;1468
2022-08-04T01:00:00+02:00;602
2022-08-04T01:30:00+02:00;2090
2022-08-04T02:00:00+02:00;514
2022-08-04T02:30:00+02:00;534
2022-08-04T03:00:00+02:00;406
2022-08-04T03:30:00+02:00;464
2022-08-04T04:00:00+02:00;378
2022-08-04T04:30:00+02:00;368
2022-08-04T05:00:00+02:00;344
2022-08-04T05:30:00+02:00;216
2022-08-04T06:00:00+02:00;274
2022-08-04T06:30:00+02:00;248
2022-08-04T07:00:00+02:00;242
2022-08-04T07:30:00+02:00;320
2022-08-04T08:00:00+02:00;1696
2022-08-04T08:30:00+02:00;2400
2022-08-04T09:00:00+02:00;1802
2022-08-04T09:30:00+02:00;360
2022-08-04T10:00:00+02:00;456
2022-08-04T10:30:00+02:00;460
